18-23-04: asset: BTCUSDT, rsi: 30.8455, balance: {'asset': 'BTC', 'free': '1.00000000', 'locked': '0.00000000'}
18-23-16: asset: BTCUSDT, rsi: 30.8455, balance: {'asset': 'BTC', 'free': '1.00000000', 'locked': '0.00000000'}
18-23-27: asset: BTCUSDT, rsi: 30.8112, balance: {'asset': 'BTC', 'free': '1.00000000', 'locked': '0.00000000'}
18-23-38: asset: BTCUSDT, rsi: 31.1707, balance: {'asset': 'BTC', 'free': '1.00000000', 'locked': '0.00000000'}
18-23-50: asset: BTCUSDT, rsi: 30.4030, balance: {'asset': 'BTC', 'free': '1.00000000', 'locked': '0.00000000'}
18-24-02: asset: BTCUSDT, rsi: 30.4571, balance: {'asset': 'BTC', 'free': '1.00000000', 'locked': '0.00000000'}
18-24-13: asset: BTCUSDT, rsi: 30.0171, balance: {'asset': 'BTC', 'free': '1.00000000', 'locked': '0.00000000'}
18-24-25: asset: BTCUSDT, rsi: 30.0166, balance: {'asset': 'BTC', 'free': '1.00000000', 'locked': '0.00000000'}
18-24-37: asset: BTCUSDT, rsi: 32.3942, balance: {'asset': 'BTC', 'free': '1.00000000', 'locked': '0.00000000'}
18-24-48: asset: BTCUSDT, rsi: 34.6318, balance: {'asset': 'BTC', 'free': '1.00000000', 'locked': '0.00000000'}
18-25-00: asset: BTCUSDT, rsi: 30.0166, balance: {'asset': 'BTC', 'free': '1.00000000', 'locked': '0.00000000'}
18-25-12: asset: BTCUSDT, rsi: 32.2729, balance: {'asset': 'BTC', 'free': '1.00000000', 'locked': '0.00000000'}
18-25-23: asset: BTCUSDT, rsi: 32.2729, balance: {'asset': 'BTC', 'free': '1.00000000', 'locked': '0.00000000'}
18-25-35: asset: BTCUSDT, rsi: 32.3852, balance: {'asset': 'BTC', 'free': '1.00000000', 'locked': '0.00000000'}
18-25-46: asset: BTCUSDT, rsi: 32.3911, balance: {'asset': 'BTC', 'free': '1.00000000', 'locked': '0.00000000'}
18-25-58: asset: BTCUSDT, rsi: 41.1408, balance: {'asset': 'BTC', 'free': '1.00000000', 'locked': '0.00000000'}
18-26-09: asset: BTCUSDT, rsi: 32.7059, balance: {'asset': 'BTC', 'free': '1.00000000', 'locked': '0.00000000'}
18-26-21: asset: BTCUSDT, rsi: 32.7008, balance: {'asset': 'BTC', 'free': '1.00000000', 'locked': '0.00000000'}
18-26-33: asset: BTCUSDT, rsi: 34.4877, balance: {'asset': 'BTC', 'free': '1.00000000', 'locked': '0.00000000'}
18-26-44: asset: BTCUSDT, rsi: 37.9218, balance: {'asset': 'BTC', 'free': '1.00000000', 'locked': '0.00000000'}
18-26-56: asset: BTCUSDT, rsi: 42.0671, balance: {'asset': 'BTC', 'free': '1.00000000', 'locked': '0.00000000'}
18-27-08: asset: BTCUSDT, rsi: 43.2616, balance: {'asset': 'BTC', 'free': '1.00000000', 'locked': '0.00000000'}
18-27-19: asset: BTCUSDT, rsi: 43.2616, balance: {'asset': 'BTC', 'free': '1.00000000', 'locked': '0.00000000'}
18-27-31: asset: BTCUSDT, rsi: 39.1659, balance: {'asset': 'BTC', 'free': '1.00000000', 'locked': '0.00000000'}
18-27-43: asset: BTCUSDT, rsi: 38.9603, balance: {'asset': 'BTC', 'free': '1.00000000', 'locked': '0.00000000'}
18-27-54: asset: BTCUSDT, rsi: 41.3199, balance: {'asset': 'BTC', 'free': '1.00000000', 'locked': '0.00000000'}
18-28-05: asset: BTCUSDT, rsi: 40.8615, balance: {'asset': 'BTC', 'free': '1.00000000', 'locked': '0.00000000'}
18-28-16: asset: BTCUSDT, rsi: 40.9343, balance: {'asset': 'BTC', 'free': '1.00000000', 'locked': '0.00000000'}
18-28-28: asset: BTCUSDT, rsi: 43.9342, balance: {'asset': 'BTC', 'free': '1.00000000', 'locked': '0.00000000'}
18-28-39: asset: BTCUSDT, rsi: 45.2286, balance: {'asset': 'BTC', 'free': '1.00000000', 'locked': '0.00000000'}
18-28-50: asset: BTCUSDT, rsi: 45.2286, balance: {'asset': 'BTC', 'free': '1.00000000', 'locked': '0.00000000'}
18-29-02: asset: BTCUSDT, rsi: 45.2286, balance: {'asset': 'BTC', 'free': '1.00000000', 'locked': '0.00000000'}
18-29-13: asset: BTCUSDT, rsi: 45.2286, balance: {'asset': 'BTC', 'free': '1.00000000', 'locked': '0.00000000'}
18-29-25: asset: BTCUSDT, rsi: 45.2286, balance: {'asset': 'BTC', 'free': '1.00000000', 'locked': '0.00000000'}
18-29-37: asset: BTCUSDT, rsi: 45.2286, balance: {'asset': 'BTC', 'free': '1.00000000', 'locked': '0.00000000'}
18-29-48: asset: BTCUSDT, rsi: 45.2286, balance: {'asset': 'BTC', 'free': '1.00000000', 'locked': '0.00000000'}
18-29-59: asset: BTCUSDT, rsi: 47.7496, balance: {'asset': 'BTC', 'free': '1.00000000', 'locked': '0.00000000'}
18-30-11: asset: BTCUSDT, rsi: 47.7537, balance: {'asset': 'BTC', 'free': '1.00000000', 'locked': '0.00000000'}
18-30-22: asset: BTCUSDT, rsi: 47.7537, balance: {'asset': 'BTC', 'free': '1.00000000', 'locked': '0.00000000'}
18-30-34: asset: BTCUSDT, rsi: 47.7537, balance: {'asset': 'BTC', 'free': '1.00000000', 'locked': '0.00000000'}
